ukprn,year,measure,group,number,provider
10000385,2020/21,level,First degree,3335,The Arts University Bournemouth
10000824,2020/21,level,First degree,13300,Bournemouth University
10031982,2020/21,level,First degree,2805,BPP University
10007785,2020/21,level,First degree,7595,The University of Bradford
10000886,2020/21,level,First degree,13590,The University of Brighton
10000936,2020/21,level,First degree,410,The University College of Osteopathy
10007786,2020/21,level,First degree,21425,The University of Bristol
10023464,2020/21,level,First degree,50,Trinity College Bristol
10000961,2020/21,level,First degree,11900,Brunel University London
10000975,2020/21,level,First degree,15515,Buckinghamshire New University
10008173,2020/21,level,First degree,1835,University of the Built Environment
10007787,2020/21,level,First degree,1620,The University of Buckingham
10010308,2020/21,level,First degree,70,Cambridge Arts and Sciences Limited
10007788,2020/21,level,First degree,12925,The University of Cambridge
10032072,2020/21,level,First degree,55,The Cambridge Theological Federation
10001143,2020/21,level,First degree,12000,Canterbury Christ Church University
10007814,2020/21,level,First degree,21270,Cardiff University
10007854,2020/21,level,First degree,7620,Cardiff Metropolitan University
10024024,2020/21,level,First degree,60,Central Film School
10007848,2020/21,level,First degree,8590,University of Chester
10007137,2020/21,level,First degree,4400,The University of Chichester
10001386,2020/21,level,First degree,30,Chicken Shed Theatre Company
10001546,2020/21,level,First degree,190,The College of Integrated Chinese Medicine
10026921,2020/21,level,First degree,140,Christ the Redeemer College
10001478,2020/21,level,First degree,11130,"City St George's, University of London"
10007912,2020/21,level,First degree,55,Cliff College
10066502,2020/21,level,First degree,230,The College of Health Ltd
10023442,2020/21,level,First degree,40,The College of Osteopaths
10001653,2020/21,level,First degree,575,Conservatoire for Dance and Drama
10007761,2020/21,level,First degree,250,Courtauld Institute of Art
10034324,2020/21,level,First degree,40,Court Theatre Training Company Ltd
10001726,2020/21,level,First degree,28865,Coventry University
10006427,2020/21,level,First degree,7150,University for the Creative Arts
10007842,2020/21,level,First degree,5865,University of Cumbria
10001883,2020/21,level,First degree,21040,De Montfort University
10007851,2020/21,level,First degree,14675,University of Derby
10007852,2020/21,level,First degree,11005,The University of Dundee
10007143,2020/21,level,First degree,16090,University of Durham
10007789,2020/21,level,First degree,13340,The University of East Anglia
10007144,2020/21,level,First degree,10235,The University of East London
10032282,2020/21,level,First degree,70,The Queen's Foundation for Ecumenical Theological Education
10007823,2020/21,level,First degree,10245,Edge Hill University
10007772,2020/21,level,First degree,10500,Edinburgh Napier University
10007790,2020/21,level,First degree,24340,The University of Edinburgh
10042570,2020/21,level,First degree,1190,Escape Studios
10007791,2020/21,level,First degree,13135,The University of Essex
10007792,2020/21,level,First degree,21660,The University of Exeter
10008640,2020/21,level,First degree,4990,Falmouth University
10033187,2020/21,level,First degree,10,Fairfield School of Business Ltd
10045476,2020/21,level,First degree,275,Met Film School Limited
10038763,2020/21,level,First degree,60,ForMission Ltd
10022087,2020/21,level,First degree,415,Futureworks
10007762,2020/21,level,First degree,13800,Glasgow Caledonian University
10002681,2020/21,level,First degree,1615,Glasgow School of Art
10007794,2020/21,level,First degree,19985,The University of Glasgow
10007145,2020/21,level,First degree,6105,University of Gloucestershire
10002718,2020/21,level,First degree,6045,Goldsmiths College
10006841,2020/21,level,First degree,7375,University of Greater Manchester
10007146,2020/21,level,First degree,15330,The University of Greenwich
10007825,2020/21,level,First degree,700,Guildhall School of Music and Drama
10040812,2020/21,level,First degree,2305,Harper Adams University
10080811,2020/21,level,First degree,1845,Hartpury University
10000163,2020/21,level,First degree,705,Health Sciences University
10007764,2020/21,level,First degree,7300,Heriot-Watt University
10007147,2020/21,level,First degree,16625,University of Hertfordshire
10007148,2020/21,level,First degree,12285,The University of Huddersfield
10007149,2020/21,level,First degree,10735,The University of Hull
10003239,2020/21,level,First degree,375,ICON College of Technology and Management
10003270,2020/21,level,First degree,11255,"Imperial College of Science, Technology and Medicine"
10035638,2020/21,level,First degree,855,Institute of Contemporary Music Performance
10029682,2020/21,level,First degree,35,The Islamic College
10021682,2020/21,level,First degree,795,Kaplan Open Learning (Essex) Limited
10007767,2020/21,level,First degree,8540,Keele University
10003566,2020/21,level,First degree,30,Kensington College of Business
10007150,2020/21,level,First degree,14665,The University of Kent
10003645,2020/21,level,First degree,20560,King's College London
10008325,2020/21,level,First degree,55,KLC School of Design
10003678,2020/21,level,First degree,11960,Kingston University
10003758,2020/21,level,First degree,105,LAMDA Limited
10007141,2020/21,level,First degree,17195,University of Lancashire
10007768,2020/21,level,First degree,12525,The University of Lancaster
10066551,2020/21,level,First degree,85,LCCM AU UK Limited
10003854,2020/21,level,First degree,2185,Leeds Arts University
10003861,2020/21,level,First degree,17830,Leeds Beckett University
10034449,2020/21,level,First degree,1345,Leeds Conservatoire
10007795,2020/21,level,First degree,26930,The University of Leeds
10003863,2020/21,level,First degree,6445,Leeds Trinity University
10007796,2020/21,level,First degree,11270,The University of Leicester
10007151,2020/21,level,First degree,13525,The University of Lincoln
10007811,2020/21,level,First degree,1505,Lincoln Bishop University
10003956,2020/21,level,First degree,4360,Liverpool Hope University
10003957,2020/21,level,First degree,20850,Liverpool John Moores University
10003945,2020/21,level,First degree,920,The Liverpool Institute for Performing Arts
10006842,2020/21,level,First degree,22115,The University of Liverpool
